description,observation_source_concept_id,observation_source_concept_name,observation_concept_id,concept_name
"Major Pancreas, Liver & Shunt Procedures",0,,0,
Major Respiratory & Chest Procedures,0,,0,
Major Respiratory Infections & Inflammations,0,,0,
"MAJOR SHOULDER/ELBOW PROCEDURE, OR OTHER UPPER EXTREMITY PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000521,"Major Shoulder/Elbow Procedure, or Other Upper Extremity Procedures with Complications, Comorbidities",,
Major Skin Disorders,0,,0,
"MAJOR SKIN DISORDERS WITH COMPLICATIONS, COMORBIDITIES",38000570,"Major Skin Disorders with Complications, Comorbidities",,
MAJOR SKIN DISORDERS W MCC,0,,38001357,Major skin disorders w MCC
MAJOR SKIN DISORDERS W/O MCC,0,,38001358,Major skin disorders w/o MCC
Major Small & Large Bowel Procedures,0,,0,
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,0,,38001149,Major small & large bowel procedures w CC
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC W MAJOR GI DX,38000876,Major Small and Large Bowel Procedures with Cc with Major Gi Dx,38001149,Major small & large bowel procedures w CC
MAJOR SMALL & LARGE BOWEL PROCEDURES W CC W/O MAJOR GI DX,38000877,Major Small and Large Bowel Procedures with Cc without Major Gi Dx,38001150,Major small & large bowel procedures w/o CC/MCC
"MAJOR SMALL & LARGE BOWEL PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000446,"Major Small and Large Bowel Procedures with Complications, Comorbidities",,
"MAJOR SMALL & LARGE BOWEL PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000447,"Major Small and Large Bowel Procedures without Complications, Comorbidities",38001148,Major small & large bowel procedures w MCC
MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,0,,38001148,Major small & large bowel procedures w MCC
MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,0,,38001150,Major small & large bowel procedures w/o CC/MCC
"Major Stomach, Esophageal & Duodenal Procedures",0,,0,
Major Thoracic & Abdominal Vascular Procedures,0,,0,
"MAJOR THUMB OR JOINT PROCEDURE, OR OTHER HAND OR WRIST PROCEDURE WITH COMPLICATIONS, COMORBIDITIES",38000526,"Major Thumb or Joint Procedure, or Other Hand or Wrist Procedure with Complications, Comorbidities",,
Male Reproductive System Diagnoses Except Malignancy,0,,0,
"Malfunction, Reaction & Complication Of G.I. Device Or Procedure",0,,0,
"Malfunction, Reaction & Complic of Genitourinary Device Or Proc",0,,0,
"Malfunction, Reaction & Comp of Cardiac or Vasc Device or Proc",0,,0,
"Malfunction, Reaction & Comp of Orthopedic Device or Procedure",0,,0,
"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W MCC",0,,38001477,"Malignancy, female reproductive system w MCC"
"Malignancy, Male Reproductive System",0,,0,
"MALIGNANCY, MALE REPRODUCTIVE SYSTEM, WITH COMPLICATIONS, COMORBIDITIES",38000644,"Malignancy, Male Reproductive System, with Complications, Comorbidities",,
"MALIGNANCY, MALE REPRODUCTIVE SYSTEM W MCC",0,,38001451,"Malignancy, male reproductive system w MCC"
MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS,38000501,Malignancy of Hepatobiliary System or Pancreas,38001232,Malignancy of hepatobiliary system or pancreas w/o CC/MCC
MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,0,,38001231,Malignancy of hepatobiliary system or pancreas w CC
MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,0,,38001230,Malignancy of hepatobiliary system or pancreas w MCC
MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,0,,38001232,Malignancy of hepatobiliary system or pancreas w/o CC/MCC
Malignant Breast Disorders,0,,0,
MALIGNANT BREAST DISORDERS W CC,0,,38001360,Malignant breast disorders w CC
MALIGNANT BREAST DISORDERS W MCC,0,,38001359,Malignant breast disorders w MCC
"Malnutrition, Failure To Thrive & Other Nutritional Disorders",0,,0,
MASTECTOMY FOR MALIGNANCY W CC/MCC,0,,38001350,Mastectomy for malignancy w CC/MCC
Mastectomy Procedures,0,,45890508,Mastectomy Procedures
MEDICAL BACK PROBLEMS,38000541,Medical Back Problems,,
MEDICAL BACK PROBLEMS W MCC,0,,38001325,Medical back problems w MCC
MEDICAL BACK PROBLEMS W/O MCC,0,,38001326,Medical back problems w/o MCC
Menstrual & Other Female Reproductive System Disorders,38000667,Menstrual and Other Female Reproductive System Disorders,,
MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS,38000667,Menstrual and Other Female Reproductive System Disorders,,
MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC,0,,38001483,Menstrual & other female reproductive system disorders w CC/MCC
Migraine & Other Headaches,0,,0,
"MINOR BLADDER PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000606,"Minor Bladder Procedures with Complications, Comorbidities",,
MINOR BLADDER PROCEDURES W MCC,0,,38001406,Minor bladder procedures w MCC
"MINOR SKIN DISORDERS WITH COMPLICATIONS, COMORBIDITIES",38000581,"Minor Skin Disorders with Complications, Comorbidities",,
"MINOR SKIN DISORDERS WITHOUT COMPLICATIONS, COMORBIDITIES",38000582,"Minor Skin Disorders without Complications, Comorbidities",,
MINOR SKIN DISORDERS W MCC,0,,38001368,Minor skin disorders w MCC
MINOR SKIN DISORDERS W/O MCC,0,,38001369,Minor skin disorders w/o MCC
Minor Small & Large Bowel Procedures,0,,0,
MINOR SMALL & LARGE BOWEL PROCEDURES W CC,0,,38001164,Minor small & large bowel procedures w CC
"MINOR SMALL & LARGE BOWEL PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000450,"Minor Small and Large Bowel Procedures with Complications, Comorbidities",38001163,Minor small & large bowel procedures w MCC
MINOR SMALL & LARGE BOWEL PROCEDURES W MCC,0,,38001163,Minor small & large bowel procedures w MCC
MINOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,0,,38001165,Minor small & large bowel procedures w/o CC/MCC
"Minor Stomach, Esophageal & Duodenal Procedures",0,,0,
"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",0,,38001390,Nutritional & misc metabolic disorders w MCC
"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",0,,38001391,Nutritional & misc metabolic disorders w/o MCC
"MISCELLANEOUS EAR, NOSE, MOUTH & THROAT PROCEDURES",38000343,"Miscellaneous Ear, Nose, Mouth and Throat Procedures",38000992,"Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC"
Moderately Extensive Procedure Unrelated To Principal Diagnosis,0,,0,
MOUTH PROCEDURES W CC/MCC,0,,38000995,Mouth procedures w CC/MCC
"MOUTH PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000466,"Mouth Procedures with Complications, Comorbidities",38000995,Mouth procedures w CC/MCC
"MOUTH PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000467,"Mouth Procedures without Complications, Comorbidities",38000996,Mouth procedures w/o CC/MCC
MOUTH PROCEDURES W/O CC/MCC,0,,38000996,Mouth procedures w/o CC/MCC
MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA,38000297,Multiple Sclerosis and Cerebellar Ataxia,38000933,Multiple sclerosis & cerebellar ataxia w/o CC/MCC
MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,0,,38000932,Multiple sclerosis & cerebellar ataxia w CC
MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W MCC,0,,38000931,Multiple sclerosis & cerebellar ataxia w MCC
MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,0,,38000933,Multiple sclerosis & cerebellar ataxia w/o CC/MCC
Multiple Sclerosis & Other Demyelinating Diseases,0,,0,
Multiple Significant Trauma W/O O.R. Procedure,0,,0,
Musculoskeletal Malignancy & Pathol Fractures D/T Muscskel Malig,0,,0,
Musculoskeletal & Other Procedures For Multiple Significant Trauma,0,,0,
MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC,0,,38001529,Myeloprolif disord or poorly diff neopl w maj O.R. proc w CC
MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W MCC,0,,38001528,Myeloprolif disord or poorly diff neopl w maj O.R. proc w MCC
MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC,0,,38001530,Myeloprolif disord or poorly diff neopl w maj O.R. proc w/o CC/MCC
MYELOPROLIF DISORD OR POORLY DIFF NEOPL W OTHER O.R. PROC W CC/MCC,0,,38001531,Myeloprolif disord or poorly diff neopl w other O.R. proc w CC/MCC
MYELOPROLIF DISORD OR POORLY DIFF NEOPL W OTHER O.R. PROC W/O CC/MCC,0,,38001532,Myeloprolif disord or poorly diff neopl w other O.R. proc w/o CC/MCC
"MYELOPROLIFERATIVE DISORDER OR POORLY DIFFUSED NEOPLASMS WITH MAJOR OPERATING ROOM PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000704,"Myeloproliferative Disorder or Poorly Diffused Neoplasms with Major Operating Room Procedures with Complications, Comorbidities",,
"MYELOPROLIFERATIVE DISORDER OR POORLY DIFFUSED NEOPLASMS WITH MAJOR OPERATING ROOM PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES OPERATING ROOM PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000705,"Myeloproliferative Disorder or Poorly Diffused Neoplasms with Major Operating Room Procedures without Complications, Comorbidities Operating Room Procedures without Complications, Comorbidities",,
MYELOPROLIFERATIVE DISORDER OR POORLY DIFFUSED NEOPLASMS WITH OTHER OPERATING ROOM PROCEDURES,38000706,Myeloproliferative Disorder or Poorly Diffused Neoplasms with Other Operating Room Procedures,,
NASAL TRAUMA & DEFORMITY,38000360,Nasal Trauma and Deformity,38001006,
Neonatal Aftercare,0,,0,
"Neonate, Birthwt 1000-1249G W OR W/O Other Significant Condition",0,,0,
"Neonate, Birthwt 1000-1249G w/ Resp Dist Synd/Oth Maj Resp Or Maj Anom",0,,0,
"Neonate, Birthwt 1250-1499G W OR W/O Other Significant Condition",0,,0,
"Neonate, Birthwt 1500-1999G W Congenital/Perinatal Infection",0,,0,
"Neonate, Birthwt 1500-1999G W Major Anomaly",0,,0,
"Neonate, Birthwt 1500-1999G W OR W/O Other Significant Condition",0,,0,
"Neonate, Birthwt 2000-2499G W Congenital/Perinatal Infection",0,,0,
"Neonate, Birthwt 2000-2499G W Other Significant Condition",0,,0,
"Neonate, Birthwt > 2499g W Congenital/Perinatal Infection",0,,0,
"Neonate, Birthwt > 2499g w/ Major Anomaly",0,,0,
"Neonate, Birthwt > 2499g W Other Significant Condition",0,,0,
"Neonate, Birthwt > 2499g W Resp Dist Synd/Oth Maj Resp Cond",0,,0,
"Neonate, Birthwt 500-749G w/o Major Procedure",0,,0,
"Neonate, Birthwt 750-999G w/o Major Procedure",0,,0,
"Neonate, BWT 1250-1499G W Resp Dist Synd/Oth Maj Resp Or Maj Anom",0,,0,
"Neonate, BWT 1500-1999G W Resp Dist Synd/Oth Maj Resp Cond",0,,0,
Neonate BWT <1500G W Major Procedure,0,,0,
"Neonate, BWT 2000-2499G, Normal Newborn Or Neonate W Other Problem",0,,0,
"Neonate, BWT 2000-2499G W Major Anomaly",0,,0,
"Neonate, BWT 2000-2499G W Resp Dist Synd/Oth Maj Resp Cond",0,,0,
"Neonate, Bwt > 2499g, Normal Newborn Or Neonate W Other Problem",0,,0,
Neonate BWT <500G or GA <24 weeks,0,,0,
"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY",38000683,"Neonates, Died or Transferred To Another Acute Care Facility",38001500,"Neonates, died or transferred to another acute care facility"
"Neonate, Transferred <5 Days Old, Born Here",0,,0,
"Neonate, Transferred <5 Days Old, Not Born Here",0,,0,
NEONATE WITH OTHER SIGNIFICANT PROBLEMS,38000688,Neonate with Other Significant Problems,38001505,Neonate w other significant problems
NEONATE W OTHER SIGNIFICANT PROBLEMS,38000688,Neonate with Other Significant Problems,38001505,Neonate w other significant problems
Nephritis & Nephrosis,0,,0,
NERVOUS SYSTEM INFECTION EXCEPT VIRAL MENINGITIS,38000308,Nervous System Infection Except Viral Meningitis,,
Nervous System Malignancy,0,,0,
"NERVOUS SYSTEM NEOPLASMS WITH COMPLICATIONS, COMORBIDITIES",38000294,"Nervous System Neoplasms with Complications, Comorbidities",38000927,Nervous system neoplasms w MCC
"NERVOUS SYSTEM NEOPLASMS WITHOUT COMPLICATIONS, COMORBIDITIES",38000295,"Nervous System Neoplasms without Complications, Comorbidities",38000928,Nervous system neoplasms w/o MCC
NERVOUS SYSTEM NEOPLASMS W MCC,0,,38000927,Nervous system neoplasms w MCC
NERVOUS SYSTEM NEOPLASMS W/O MCC,0,,38000928,Nervous system neoplasms w/o MCC
NEUROLOGICAL EYE DISORDERS,38000333,Neurological Eye Disorders,38000984,Neurological eye disorders
"Non-Bacterial Gastroenteritis, Nausea & Vomiting",0,,0,
NON-BACTERIAL INFECTIONS OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS,38000868,Non-Bacterial Infections of Nervous System Except Viral Meningitis,38000972,Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC
Non-bacterial Infections of Nervous System Exc Viral Meningitis,0,,0,
NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W CC,0,,38000971,Non-bacterial infect of nervous sys exc viral meningitis w CC
NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W MCC,0,,38000970,Non-bacterial infect of nervous sys exc viral meningitis w MCC
NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS W/O CC/MCC,0,,38000972,Non-bacterial infect of nervous sys exc viral meningitis w/o CC/MCC
NON-EXTENSIVE BURNS,0,,38001604,Non-extensive burns
NON-EXTENSIVE OPERATING ROOM PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS,38000774,Non-Extensive Operating Room Procedure Unrelated To Principal Diagnosis,,
NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,0,,38001636,Non-extensive O.R. proc unrelated to principal diagnosis w CC
NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,0,,38001635,Non-extensive O.R. proc unrelated to principal diagnosis w MCC
NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,0,,38001637,Non-extensive O.R. proc unrelated to principal diagnosis w/o CC/MCC
Nonextensive Procedure Unrelated To Principal Diagnosis,0,,0,
NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,0,,38001363,Non-malignant breast disorders w/o CC/MCC
NONSPECIFIC CEREBROVASCULAR AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION,38000303,Nonspecific Cerebrovascular and Precerebral Occlusion without Infarction,38000941,Nonspecific CVA & precerebral occlusion w/o infarct w/o MCC
NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,0,,38000944,Nonspecific cerebrovascular disorders w CC
"NONSPECIFIC CEREBROVASCULAR DISORDERS WITH COMPLICATIONS, COMORBIDITIES",38000304,"Nonspecific Cerebrovascular Disorders with Complications, Comorbidities",38000943,Nonspecific cerebrovascular disorders w MCC
"NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT COMPLICATIONS, COMORBIDITIES",38000305,"Nonspecific Cerebrovascular Disorders without Complications, Comorbidities",38000945,Nonspecific cerebrovascular disorders w/o CC/MCC
NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,0,,38000943,Nonspecific cerebrovascular disorders w MCC
NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,0,,38000945,Nonspecific cerebrovascular disorders w/o CC/MCC
NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W MCC,0,,38000940,Nonspecific CVA & precerebral occlusion w/o infarct w MCC
NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,0,,38000941,Nonspecific CVA & precerebral occlusion w/o infarct w/o MCC
Nontraumatic Stupor & Coma,38000311,Nontraumatic Stupor and Coma,0,
NONTRAUMATIC STUPOR & COMA,38000311,Nontraumatic Stupor and Coma,38000954,Nontraumatic stupor & coma w/o MCC
NONTRAUMATIC STUPOR & COMA W MCC,0,,38000953,Nontraumatic stupor & coma w MCC
NONTRAUMATIC STUPOR & COMA W/O MCC,0,,38000954,Nontraumatic stupor & coma w/o MCC
NORMAL NEWBORN,38000689,Normal Newborn,38001506,Normal newborn
"NUTRITIONAL & MISCELLANEOUS METABOLIC DISORDERS AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000594,"Nutritional and Miscellaneous Metabolic Disorders Age >17 with Complications, Comorbidities",,
"NUTRITIONAL & MISCELLANEOUS METABOLIC DISORDERS AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000595,"Nutritional and Miscellaneous Metabolic Disorders Age >17 without Complications, Comorbidities",,
OPERATING ROOM PROCEDURE FOR INFECTIOUS & PARASITIC DISEASES,38000713,Operating Room Procedure For Infectious and Parasitic Diseases,,
OPERATING ROOM PROCEDURES FOR OBESITY,38000586,Operating Room Procedures For Obesity,,
OPERATING ROOM PROCEDURE WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES,38000759,Operating Room Procedure with Diagnoses of Other Contact with Health Services,,
OPERATING ROOM PROCEDURE WITH PRINCIPAL DIAGNOSES OF MENTAL ILLNESS,38000722,Operating Room Procedure with Principal Diagnoses of Mental Illness,,
Opioid Abuse & Dependence,0,,0,
Orbital Procedures,38000325,Orbital Procedures,0,
ORBITAL PROCEDURES,38000325,Orbital Procedures,38000978,Orbital procedures w/o CC/MCC
ORBITAL PROCEDURES W CC/MCC,0,,38000977,Orbital procedures w CC/MCC
ORGANIC DISTURBANCES & MENTAL RETARDATION,38000728,Organic Disturbances and Mental Retardation,,
Organic Mental Health Disturbances,0,,0,
O.R. Procedure For Other Complications Of Treatment,0,,0,
O.R. PROCEDURES FOR OBESITY W CC,0,,38001376,O.R. procedures for obesity w CC
O.R. PROCEDURES FOR OBESITY W MCC,0,,38001375,O.R. procedures for obesity w MCC
O.R. PROCEDURES FOR OBESITY W/O CC/MCC,0,,38001377,O.R. procedures for obesity w/o CC/MCC
O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,0,,38001606,O.R. proc w diagnoses of other contact w health services w CC
O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W MCC,0,,38001605,O.R. proc w diagnoses of other contact w health services w MCC
O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC,0,,38001607,O.R. proc w diagnoses of other contact w health services w/o CC/MCC
OSTEOMYELITIS,38000536,Osteomyelitis,,
"Osteomyelitis, Septic Arthritis & Other Musculoskeletal Infections",0,,0,
OSTEOMYELITIS W CC,0,,38001314,Osteomyelitis w CC
OSTEOMYELITIS W MCC,0,,38001313,Osteomyelitis w MCC
Other Aftercare & Convalescence,0,,0,
Other Anemia & Disorders Of Blood & Blood Forming Organs,0,,0,
Other Antepartum Diagnoses,0,,0,
OTHER ANTEPARTUM DIAGNOSES WITH MEDICAL COMPLICATIONS,38000681,Other Antepartum Diagnoses with Medical Complications,,
OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,0,,38001498,Other antepartum diagnoses w medical complications
OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS,0,,38001499,Other antepartum diagnoses w/o medical complications
"Other Back & Neck Disorders, Fractures & Injuries",0,,0,
Other Bladder Procedures,0,,0,
OTHER CARDIAC PACEMAKER IMPLANTATION,38000412,Other Cardiac Pacemaker Implantation,,
OTHER CARDIOTHORACIC PROCEDURES,38000401,Other Cardiothoracic Procedures,38001070,Other cardiothoracic procedures w/o CC/MCC
Other Cardiothoracic Procedures,38000401,Other Cardiothoracic Procedures,0,
OTHER CARDIOTHORACIC PROCEDURES,38000401,Other Cardiothoracic Procedures,38001070,Other cardiothoracic procedures w/o CC/MCC
OTHER CARDIOTHORACIC PROCEDURES W CC,0,,38001069,Other cardiothoracic procedures w CC
OTHER CARDIOTHORACIC PROCEDURES W MCC,0,,38001068,Other cardiothoracic procedures w MCC
OTHER CARDIOTHORACIC PROCEDURES W/O CC/MCC,0,,38001070,Other cardiothoracic procedures w/o CC/MCC
Other Circulatory System Diagnoses,0,,0,
OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,0,,38001143,Other circulatory system diagnoses w CC
"OTHER CIRCULATORY SYSTEM DIAGNOSES WITH COMPLICATIONS, COMORBIDITIES",38000442,"Other Circulatory System Diagnoses with Complications, Comorbidities",38001142,Other circulatory system diagnoses w MCC
"OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT COMPLICATIONS, COMORBIDITIES",38000443,"Other Circulatory System Diagnoses without Complications, Comorbidities",38001144,Other circulatory system diagnoses w/o CC/MCC
OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,0,,38001142,Other circulatory system diagnoses w MCC
OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,0,,38001144,Other circulatory system diagnoses w/o CC/MCC
OTHER CIRCULATORY SYSTEM OPERATING ROOM PROCEDURES,38000416,Other Circulatory System Operating Room Procedures,38001106,Other circulatory system O.R. procedures
OTHER CIRCULATORY SYSTEM O.R. PROCEDURES,0,,38001106,Other circulatory system O.R. procedures
Other Circulatory System Procedures,0,,0,
Other Complications of Treatment,0,,0,
Other Digestive System & Abdominal Procedures,0,,0,
Other Digestive System Diagnoses,0,,0,
OTHER DIGESTIVE SYSTEM DIAGNOSES AGE 0-17,38000488,Other Digestive System Diagnoses Age 0-17,38001205,Other digestive system diagnoses w/o CC/MCC
"OTHER DIGESTIVE SYSTEM DIAGNOSES AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000486,"Other Digestive System Diagnoses Age >17 with Complications, Comorbidities",38001203,Other digestive system diagnoses w MCC
"OTHER DIGESTIVE SYSTEM DIAGNOSES AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000487,"Other Digestive System Diagnoses Age >17 without Complications, Comorbidities",38001204,Other digestive system diagnoses w CC
OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,0,,38001204,Other digestive system diagnoses w CC
OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,0,,38001203,Other digestive system diagnoses w MCC
OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,0,,38001205,Other digestive system diagnoses w/o CC/MCC
"OTHER DIGESTIVE SYSTEM OPERATING ROOM PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000468,"Other Digestive System Operating Room Procedures with Complications, Comorbidities",38001175,Other digestive system O.R. procedures w MCC
"OTHER DIGESTIVE SYSTEM OPERATING ROOM PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000469,"Other Digestive System Operating Room Procedures without Complications, Comorbidities",38001177,Other digestive system O.R. procedures w/o CC/MCC
OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,0,,38001176,Other digestive system O.R. procedures w CC
OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,0,,38001175,Other digestive system O.R. procedures w MCC
OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,0,,38001177,Other digestive system O.R. procedures w/o CC/MCC
Other Disorders of Nervous System,45576617,Other disorders of nervous system,0,
OTHER DISORDERS OF NERVOUS SYSTEM W CC,0,,38000965,Other disorders of nervous system w CC
"OTHER DISORDERS OF NERVOUS SYSTEM WITH COMPLICATIONS, COMORBIDITIES",38000322,"Other Disorders of Nervous System with Complications, Comorbidities",38000964,Other disorders of nervous system w MCC
"OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT COMPLICATION, COMORBIDITIES",38000323,"Other Disorders of Nervous System without Complication, Comorbidities",38000966,Other disorders of nervous system w/o CC/MCC
OTHER DISORDERS OF NERVOUS SYSTEM W MCC,0,,38000964,Other disorders of nervous system w MCC
OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,0,,38000966,Other disorders of nervous system w/o CC/MCC
OTHER DISORDERS OF THE EYE AGE 0-17,38000336,Other Disorders of The Eye Age 0-17,38000986,Other disorders of the eye w/o MCC
"OTHER DISORDERS OF THE EYE AGE >17 WITH COMPLICATIONS, COMORBIDITIES",38000334,"Other Disorders of The Eye Age >17 with Complications, Comorbidities",38000986,Other disorders of the eye w/o MCC
"OTHER DISORDERS OF THE EYE AGE >17 WITHOUT COMPLICATIONS, COMORBIDITIES",38000335,"Other Disorders of The Eye Age >17 without Complications, Comorbidities",38000986,Other disorders of the eye w/o MCC
OTHER DISORDERS OF THE EYE W MCC,0,,38000985,Other disorders of the eye w MCC
OTHER DISORDERS OF THE EYE W/O MCC,0,,38000986,Other disorders of the eye w/o MCC
Other Disorders Of The Liver,0,,0,
Other Drug Abuse & Dependence,0,,0,
"Other Ear, Nose, Mouth,Throat & Cranial/Facial Diagnoses",0,,0,
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES AGE >17",38000361,"Other Ear, Nose, Mouth and Throat Diagnoses Age >17",0,
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",0,,38001009,"Other ear, nose, mouth & throat diagnoses w CC"
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W MCC",0,,38001007,"Other ear, nose, mouth & throat diagnoses w MCC"
"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W/O CC/MCC",0,,38001011,"Other ear, nose, mouth & throat diagnoses w/o CC/MCC"
"OTHER EAR, NOSE, MOUTH & THROAT OPERATING ROOM PROCEDURES",38000351,"Other Ear, Nose, Mouth and Throat Operating Room Procedures",38000992,"Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC"
"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",0,,38000991,"Other ear, nose, mouth & throat O.R. procedures w CC/MCC"
"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",0,,38000992,"Other ear, nose, mouth & throat O.R. procedures w/o CC/MCC"
"Other Ear, Nose, Mouth & Throat Procedures",0,,0,
Other Endocrine Disorders,40321189,Other Endocrine Disorders,0,
"OTHER ENDOCRINE, NUTRITION & METABOLIC OPERATING ROOM PROCEDURES WITH COMPLICATIONS, COMORBIDITIES",38000590,"Other Endocrine, Nutrition and Metabolic Operating Room Procedures with Complications, Comorbidities",,
"OTHER ENDOCRINE, NUTRITION & METABOLIC OPERATING ROOM PROCEDURES WITHOUT COMPLICATIONS, COMORBIDITIES",38000591,"Other Endocrine, Nutrition and Metabolic Operating Room Procedures without Complications, Comorbidities",,
"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC",0,,38001385,"Other endocrine, nutrit & metab O.R. proc w CC"
"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC",0,,38001384,"Other endocrine, nutrit & metab O.R. proc w MCC"
"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W/O CC/MCC",0,,38001386,"Other endocrine, nutrit & metab O.R. proc w/o CC/MCC"
Other Esophageal Disorders,4024832,Other esophageal disorders,0,
OTHER FACTORS INFLUENCING HEALTH STATUS,38000765,Other Factors Influencing Health Status,38001614,Other factors influencing health status
OTHER FEMALE REPRODUCTIVE SYSTEM OPERATING ROOM PROCEDURES,38000663,Other Female Reproductive System Operating Room Procedures,,
